MÃ 一级编码,一级编码名称, SẢN PHẨM 类别,MÃ SẢN PHẨM 类别编码,TÊN VẬT PHẨM 物品名称,MÃ VẬT PHẨM 物品编码,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801033,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801034,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801035,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801036,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801037,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801038,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801039,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801040,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,,F0801041,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DB x 1KN #14 缝纫机针 ,F0801042,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim vắt sổ DC x 1KN # 14 风琴机针DC*1 （拷边机）,F0801043,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo trong  1.8cm 胶带,F0802001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo trong  6cm 封箱胶带,F0802002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo trong 5cm 封箱胶带,F0802003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo vải nâu牛皮胶带,F0802004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo xốp vàng 2.4cm 海绵胶,F0802005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo điện  电工胶带 ,F0802006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo đóng thùng xanh lá 封箱胶带（绿色）,F0802007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo vải nâu 3cm 牛皮胶带,F0802008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo vải nâu 2cm 牛皮胶带,F0802009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo 2 mặt 0.5cm 双面胶,F0802010,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo 2 mặt 1cm 双面胶,F0802011,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo 2 mặt 2.4cm 双面胶,F0802012,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo giấy vàng 1 cm 美纹纸,F0802013,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo giấy vàng 2cm 美纹纸,F0802014,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,băng keo trong 2cm 透明胶(封箱带）,F0802015,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,"Băng keo vải xanh dương 50mm (cây = 6 cuộn)
蓝色布基胶带 （6卷/打）",F0802016,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Băng keo 胶带,F0802,"Băng keo giấy màu trắng loại 1cm (28 cuộn/cây)
白色纸胶带 1cm",F0802017,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,bát cử viền kansai 关西拉筒底座,F0803001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,bát cử cuốn lai 1 kim拉筒底座,F0803002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,cử treo đôi双面订归,F0803003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,cử viền 1 kim A10 26mm 针板拉筒,F0803004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,cử viền 1 kim A10 28mm针板拉筒,F0803005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,  ,F0803006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,bộ cư li 1/4 2 kim di động 单杆双针针位,F0803007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,bát cử cuốn lai 1 kim拉筒底座,F0803008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,bát cử vắt sổ 拉筒底座,F0803009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,cử 1 mép 30-35 绷缝车拉筒,F0803010,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,"cử kansai mép cuốn (mép xả 5cm vào, 2cm ra
绷缝拉筒 （拉筒）",F0803011,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,cử viền 1 kim A10 38mm针板拉筒,F0803012,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,cử viền 1 kim A10 40mm针板拉筒,F0803013,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Cử 拉筒,F0803,Cử viền 1 kim 24mm 针板拉筒,F0803014,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt quay rập 4 li K1 针板,F0804001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt cuốn lai 1.5mm 四线密拷针板,F0804002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt vắt sổ 4 chỉ 5 li 拷边车四线针板,F0804003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt kansai chống mo vải 坎车针板,F0804004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt E16 针板,F0804005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt 1 kim xén 1/8 切刀平车针板,F0804006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt 1 kim xén 1/4  切刀平车针板,F0804007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt cuốn biên 1.5mm 四线密拷针板,F0804008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Mặt nguyệt针板,F00804,mặt nguyệt vắt sổ 4 chỉ 3 li 飞马四线针板,F0804009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao vắt sổ dưới 下刀（拷边机）,F0805001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao động máy 1 kim (Brother) 平车下刀,F0805002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao trên máy xén 1 kim 切刀车刀片,F0805003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao rọc PVC 切割PVC板勾刀 （美工刀）,F0805004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao rọc giấy  lớn 大美工刀,F0805005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,Dao rọc giấy SDI lớn 0423 美工刀,F0805006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao cắt tay 6E 手动裁刀片,F0805007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao vắt sổ trên 201121A,F0805008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao cắt vòng 龙门刀,F0805009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao thớt khuy mắc gà,F0805010,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao máy cắt trải vải,F0805011,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao máy xén ,F0805012,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,Dao tĩnh 平车下刀,F0805013,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,Dao động 平车上刀,F0805014,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,lưỡi dao cắt rập 1mm  ( Phòng Rập),F0805015,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,lưỡi dao rọc giấy lớn 美工刀片 (大),F0805016,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,Lưỡi gà máy cắt đầu bàn  断布机拨片,F0805017,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao máy cắt vải đầu bàn tròn 断布机刀片 (断布机圆刀片),F0805018,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao trên 1 kim Brother SB4941-001-SH  平车上刀,F0805019,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao dưới 1 kim Brother 平车下刀,F0805020,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao trên 1 kim Joje S02637-001 平车上刀,F0805021,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,Dao dưới máy Khuy Mắt Phụng 锁眼机A2下刀 ,F0805022,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao máy khuy 1/4 锁眼刀片1/4,F0805023,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,lưỡi dao rọc mica (PVC ）切割PVC板勾刀 （美工刀刀片）,F0805024,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Dao 刀/刀片,F0805,dao cắt vòng 龙门刀,F0805025,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy sản xuất纸,F0806,"giây sơ đồ trăng 1m6 - giấy báo 唛架纸,45gms (xám)",F0806001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy sản xuất纸,F0806,"giây sơ đồ trăng 1m6 唛架纸,65gms (trắng)",F0806002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy sản xuất纸,F0806,giấy sơ đồ trắng 1m8 白色图表纸/唛架纸,F0806003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy sản xuất纸,F0806,giấy cứng cắt rập 1m3 牛皮纸,F0806004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy sản xuất纸,F0806,Giấy đánh số (tổ cắt ) 裁床编码标签纸(裁床用),F0806005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy sản xuất纸,F0806,"giấy chống ẩm拷贝纸 （防潮纸）
khổ 25cm*25cm",F0806006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Giấy sản xuất纸,F0806,giấy vàng đục lỗ 1m6 打孔纸（版厂用）,F0806007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,Aceton,F0807001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,xăng thơm 香油,F0807002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,giấm 白醋,F0807003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,son tẩy hàng 去污膏,F0807004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,chai vệ sinh máy cắt 自动裁床清洁剂（清洁剂）,F0807005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,chai tẩy sét Rustgo 除锈剂 RUSTGO,F0807006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,CHAI TẨY DẦU 830 去污膏,F0807007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,Oxy già 过氧化氢,F0807008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,nước tẩy on1 cho áo màu  彩漂液,F0807009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,nước rửa chén 洗碗液,F0807010,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,chai vệ sinh máy ép keo 粘合润滑油,F0807011,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"
去污剂chất tẩy hàng",F0807,chai axit 不锈钢助焊剂,F0807012,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt 1 giò phải P36N右单边压脚,F0808001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,"chân vịt khoét rãnh 1/16 平车包绳嵌线压脚
",F0808002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,"chân vịt khoét rãnh 1/8平车包绳嵌线压脚
",F0808003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt bánh xe 1 kim 滚轮胶压脚,F0808004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt mí 5/16 ( phải) 平车右挡边压脚,F0808005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt luồn thun 1/8 橡筋抽皱压脚1/8,F0808006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt bánh xe chạy viền 滚轮包边压脚,F0808007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,Chân vịt vắt sổ 4 chỉ chạy dây bún  四线拷边机透明带压脚,F0808008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,"chân vịt mí 1/32 双针车左右1/32压脚
",F0808009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,Chân vịt 1 giò trái CL  左单边压脚,F0808010,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,Chân vịt đũa 牙签压脚 ,F0808011,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt máy may ziczac 人字车压脚,F0808012,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,Chân vịt lò xo 平车可调节打褶压脚,F0808013,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,Chân vịt nhúm vuông 平车缩皱压脚,F0808014,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,Chân vịt mí 1 ly phải 右边牙签高低压脚,F0808015,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,Chân vịt mí 1 ly trái左边牙签高低压脚,F0808016,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt 1 kim vòng nhựa  滚轮压脚,F0808017,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,Chân vịt 压脚,F0808,chân vịt nhiễu 1 /8 1/8右傍压脚 ,F0808018,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0809,mực in 唛架机黑盒(唛架机黑水）,F0809001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0809,hộp mực in 85A( XNK) 打印机黑水,F0809002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0809,mực đóng dấu 555 ( màu bạc) 印泥盒,F0809003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0809,mực bút lông dầu（màu đen) 记号笔的墨水 (黑色）,F0809004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0809,mực đóng dấu 555 ( màu đen) 印泥盒,F0809005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0809,hộp mực in pamtum P2200 打印机黑盒 ,F0809006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0809,Bơm mực sơ đồ 充墨水 （针孔打印机黑盒 ）,F0809007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,keo 502 / 502胶水,F0810001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,tấm thiếc cắt rập模版铁片0.2mm (1mx2m）,F0810002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,inox bẻ cử 0.5mm 不锈钢薄板,F0810003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,gói hút ẩm 5g干燥剂 (10.000 gói),F0810004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,cây lộn vải 26cm 钩针,F0810005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,palet 1100x1100x130mm bít đen cũ 9 chân giá 250k,F0810006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,蛇皮袋 bao tải dứa,F0810007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,"kẽm làm đuôi cử 2,5li 铁丝",F0810008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,màng PE 2m4 ( tổ cắt) 保鲜罩,F0810009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,màng PE 50 cm  ( hoàn thành ) 保鲜罩,F0810010,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bao ni long 60 cm 仓库塑料袋,F0810011,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dây curoa A23 三角皮带,F0810012,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,máy đánh số DELI 打码器 6号,F0810013,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,giấy nhám to 砂纸 NO150,F0810014,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Giấy đánh số 5 裁床编码标签纸(裁床用),F0810015,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,giấy nhám nhuyễn P1200 砂纸/沙皮,F0810016,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ống đồng 3ly 紫铜管,F0810017,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,van 1 chiều 烫斗疏水阀,F0810018,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dầu máy may 洁丽王衣车油,F0810019,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,nhựa dán chân vịt 0.5mm 压脚皮,F0810020,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,nhựa dán chân vịt 0.8mm 压脚皮,F0810021,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,ốc hãm chân vịt sâm lai森苯压脚锁紧螺丝螺母,F0810022,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,Cân đồng hồ 30KG 电子秤,F0810023,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,túi ni long 30*40 塑胶袋,F0810024,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,móc dưới máy kansai 堪塞下钩 ,F0810025,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,móc vắt sổ dưới 下钩针,F0810026,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,dây mài máy cắt 打磨带,F0810027,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,"Linh kiện sản xuất  khác
其它类别",F0810,bộ cư li 1/4 2 kim di động 单杆双针针位,F0810028,,,,,,,,,,,,,,,,,,,,,
